"language","variable","file_name"
"Turkish","AOA  familiar","Raman, Raman, & Mertan_1.xlsx"
"Turkish","AOA  familiar","Raman, Raman, & Mertan_2.xlsx"
"Spanish","valence","Ferre, Guasch, Moldovan, & Sanchez-Casas_1.xls"
"Spanish","AOA  familiar","Moreno-Martinez, Montoro, & Rodriguez-Rojo_1.xls"
"Spanish","AOA","Alonso, Diez, & Fernandez_1.xlsx"
"Spanish","valence","Ferre, Guasch, Martinez-Garcia, Fraga, & Hinojosa_1.xls"
"Spanish","concrete familiar imagine valence","Guasch, Ferre, & Fraga_1.xlsx"
"Spanish","valence","Stadthagen-Gonzalez, Imbault, Sanchez, & Brysbaert_1.csv"
"Spanish","concrete familiar","Diez-Alamo, Diez, Alonso,Vargas, & Fernandez_1.rar"
"Spanish","AOA","Diez-Alamo, Diez, Wojcik, Alonso, & Fernandez_1.xlsx"
"Spanish","valence","Stadthagen-Gonzalez, Ferre, Perez-Sanchez, Imbault, & Hinojosa_1.csv"
"Russian","AOA  familiar imagine","Grigoriev & Oshhepkov_1.xls"
"Portuguese","valence","Soares, Pinheiro, Costa, Frade, Comesana, & Pureza_1.xls"
"Portuguese","valence","Soares, Comesana, Pinheiro, Simoes, & Frade_1.xls"
"Portuguese","concrete  imagine","Soares, Costa, Machado, Comesana, & Oliveira_1.xlsx"
"Polish","valence","Marchewka, Zurawski, Jednorog, & Grabowska_1.xls"
"Polish","valence","Marchewka, Zurawski, Jednorog, & Grabowska_2.xlsx"
"Polish","valence","Imbir_1.xls"
"Polish","imagine valence","Riegel, Wierzba, Wypych, Zurawski, Jednorog, Grabowska, & Marchewka_1.xlsx"
"Persian","AOA   imagine","Bakhtiar, Nilipour, & Weekes_1.xlsx"
"Persian","AOA  familiar","Ghasisn, Yadegari, Rahgozar, Nazari, & Rastegarianzade_1.xlsx"
"Japanese","familiar imagine","Nishimoto, Ueda, Miyawaki, Une, & Takahashi_1.xlsx"
"Japanese","valence","Yang, Makita, Nakao, Kanayama, Machizawa, Sasaoka, Sugata, Kobayashi, Hiramoto, Yamawaki, Iwanaga, & Miyatani_1.xlsx"
"Italian","familiar","Montefinese, Ambrosini, Fairfield, & Mammarella_1.xls"
"Italian","AOA  familiar","Tabossi, Arduino, & Fanari_1.xls"
"Italian","AOA  familiar","Tabossi, Arduino, & Fanari_2.xls"
"German","AOA  familiar","Schroder, Gemballa, Ruppin, & Wartenburger_1.xls"
"German","imagine valence","Schmidtke, Schroder, Jacobs, & Conrad_1.xlsx"
"German","AOA","Birchenough, Davies, & Connelly_1.csv"
"German","concrete familiar  valence","Citron, Cacciari, Kucharski, Beck, Conrad, & Jacobs_2.xls"
"German","valence","Schauenburg, Ambrasat, Schroder, von Scheve, & Conrad_1.xlsx"
"German","valence","Briesemeister, Kuchinke, & Jacobs_1.xls"
"German","AOA","Smolka & Eulitz_3.csv"
"French","AOA  familiar","Bonin, Meot, & Bugaiska_2.xls"
"French","AOA   imagine","Bonin, Meot, Millotte, & Bugaiska_1.xlsx"
"French","AOA   imagine","Bonin, Meot, Ferrand, & Bugaiska_1.xlsx"
"French","imagine valence","Monnier & Syssau_2.xlsx"
"French","AOA    valence","Bonin, Meot, & Bugaiska_2.txt"
"French","AOA    valence","Bonin, Meot, & Bugaiska_3.xlsx"
"English","valence","Ferstl, Garnham, & Manouilidou_1.xlsx"
"English","AOA   imagine","Juhasz & Yap_1.xls"
"English","AOA","Khanna & Cortese_1.xls"
"English","AOA","Khanna & Cortese_2.xls"
"English","AOA","Schock, Cortese, Khanna, & Toppi_1.xlsx"
"English","familiar","Amsel, Urbach, & Kutas_1.csv"
"English","imagine","Cohen-Shikora, Balota, Kapuria, & Yap_1.xlsx"
"English","valence","Lima, Castro, & Scott_1.xlsx"
"English","AOA  familiar imagine","Tsaparina, Bonin, & Meot_1.xls"
"English","AOA  familiar imagine","Tsaparina, Bonin, & Meot_2.xls"
"English","concrete","Brysbaert, Warriner, & Kuperman_1.xlsx"
"English","valence","Keefe, Villing, Racey, Strong, Wincenciak, & Barraclough_6.xlsx"
"English","AOA","Storkel_1.xls"
"English","familiar","Bulkes & Tanner_1.xlsx"
"English","familiar","Garrido, Lopes, Prada, Rodrigues, Jeronimo, & Mourao_6.xlsx"
"English","familiar","Garrido, Lopes, Prada, Rodrigues, Jeronimo, & Mourao_8.xlsx"
"English","AOA  familiar imagine","Juhasz, Lai, & Woodcock_2.xlsx"
"English","concrete","Pexman, Heard, Lloyd, & Yap_2.xlsx"
"English","concrete","Pexman, Heard, Lloyd, & Yap_3.xlsx"
"English","concrete familiar  valence","Cardillo, Watson, & Chatterjee_2.xls"
"English","concrete familiar  valence","Cardillo, Watson, & Chatterjee_3.xls"
"English","valence","Dawel, Wright, Irons, Dumbleton, Palermo, O'Kearney, & McKone_1.xlsx"
"English","valence","Dawel, Wright, Irons, Dumbleton, Palermo, O'Kearney, & McKone_2.xlsx"
"English","valence","Dawel, Wright, Irons, Dumbleton, Palermo, O'Kearney, & McKone_3.xlsx"
"English","valence","Rocklage, Rucker, & Nordgren_1.xlsx"
"English","familiar","Saryazdi, Bannon, Rodrigues, Klammer, & Chambers_1.xlsx"
"English","valence","Teh, Yap, Liow_2.xlsx"
"English","valence","Webb, Ayers, & Endress_2.csv"
"Dutch","AOA    valence","Moors, Houwer, Hermans, Wanmaker, Schie, Can Harmelen, De Schryver, De Winne, & Brysbaert_1.xlsx"
"Dutch","AOA  familiar imagine","Shao & Stiegert_1.xlsx"
"Dutch","valence","Speed & Majid_1.xlsx"
"Arabic","familiar imagine","Boukadi, Zoualdi, & Wilson_1.xlsx"
"Arabic","familiar imagine","Boukadi, Zoualdi, & Wilson_2.xlsx"
"Arabic","familiar imagine","Boukadi, Zoualdi, & Wilson_3.xlsx"
