Appendix C,,,,,,,,,,,,
"Additional Demographic Characteristics for Americans and Chinese, by Age Groups",,,,,,,,,,,,

Culture,,Age Group,Gender,,Race/Ethnicity,,,,Marital Status,,,
,,,,,,,,,,,,
,,,Male,Female,African American,Asian,Caucasian / White,Hispanic,Single,Married,Separated / Divorced,Widowed
,,,,,,,,,,,,
Percentages,,,,,,,,,,,,
American,Younger,,41,59,7,0,88,5,100,0,0,0
,,,,,,,,,,,,
,Older,,40,60,3,0,96,1,7,69,15,9
,,,,,,,,,,,,
Chinese,Younger,,39,61,0,100,0,0,99,1,0,0
,,,,,,,,,,,,
,Older,,42,58,0,0,0,0,5,92,0,3
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,

,,,,,,,,,,,,
